,age,gender,time_in_social_media,people_living_together,social_class,has_pets,number_of_pets,has_dog,has_cat,has_others,forgets,report_abandoned,feeling,would_use
159,15,1,0,4,4,0,0,0,0,0,1,2,2,0.5
160,15,1,0,3,3,1,1,1,0,0,0,0,3,1
161,15,0,2,3,3,0,0,0,0,0,1,2,1,0
162,15,2,6,4,0,1,4,1,0,1,0,3,4,0.5
163,15,0,6,6,3,1,3,1,1,1,1,3,3,0.5
164,40,0,0,3,2,0,0,0,0,0,1,2,2,0.5
165,50,1,0,2,2,0,0,0,0,0,1,2,3,0.5
166,40,1,0,3,1,0,0,0,0,0,1,2,4,1
167,15,1,0,4,2,1,1,0,1,0,0,4,4,0
168,30,1,0,2,3,0,0,0,0,0,1,2,4,1
169,15,1,0,3,0,0,0,0,0,0,1,2,3,1
170,50,1,0,1,2,1,4,1,1,0,0,4,3,1
171,30,1,0,3,3,1,4,0,1,1,0,4,4,1
172,40,1,0,1,2,1,1,1,0,0,0,4,4,1
173,15,0,0,3,2,0,0,0,0,0,1,2,1,0
174,25,1,4,2,3,0,0,0,0,0,1,2,2,0.5
175,20,0,0,5,3,0,0,0,0,0,1,2,2,0.5
176,30,1,0,3,1,0,0,0,0,0,1,2,3,1
177,15,1,4,3,2,0,0,0,0,0,1,2,2,0.5
178,40,1,6,2,2,0,0,0,0,0,1,2,3,0.5
179,50,1,2,2,2,1,1,0,1,0,0,2,0,0
180,20,1,0,4,2,0,0,0,0,0,1,2,0,0
181,20,0,0,4,2,1,2,0,1,1,1,2,2,0.5
182,20,1,8,2,2,1,5,1,0,0,0,4,4,1
183,20,1,0,3,2,0,0,0,0,0,1,2,3,1
184,20,1,4,2,2,0,0,0,0,0,1,2,3,1
185,20,1,4,5,2,0,0,0,0,0,1,2,2,0.5
186,15,1,0,4,3,1,1,1,0,0,1,4,4,1
187,20,0,0,3,3,0,0,0,0,0,1,2,3,1
188,20,0,4,4,1,1,2,1,0,0,1,4,3,1
189,20,0,2,3,4,0,0,0,0,0,1,2,2,0.5
190,20,1,4,3,1,0,0,0,0,0,1,2,1,1
191,40,1,4,3,0,0,0,0,0,0,1,2,2,0.5
192,15,1,2,3,3,1,2,1,0,1,0,2,3,0
193,15,1,0,3,3,0,0,0,0,0,1,2,3,1
194,30,1,6,3,1,0,0,0,0,0,1,2,2,1
195,40,1,0,3,4,0,0,0,0,0,1,2,2,0.5
196,15,0,2,4,3,0,0,0,0,0,1,2,3,1
197,20,1,4,3,2,0,0,0,0,0,1,2,1,0
198,20,0,4,4,4,0,0,0,0,0,1,2,0,0
199,20,1,6,4,3,1,1,0,0,0,0,4,4,0
200,50,1,2,4,3,1,1,1,0,0,1,3,3,1
201,50,0,2,3,4,0,0,0,0,0,1,2,1,0
202,50,0,2,3,4,1,1,1,0,0,0,2,3,0
203,40,1,6,4,3,0,0,0,0,0,1,2,3,1
204,40,1,2,6,3,1,9,1,0,0,1,4,3,1
205,40,1,4,4,3,0,0,0,0,0,1,2,3,1
206,30,1,6,4,4,1,3,0,1,0,1,4,3,0.5
207,50,1,2,4,3,1,2,1,0,0,0,4,4,1
208,20,1,2,4,3,1,1,1,0,0,0,3,3,1
209,50,1,2,3,3,1,1,1,0,0,0,4,4,1
210,20,1,2,7,2,0,0,0,0,0,1,2,4,1
211,50,1,2,3,2,1,4,1,1,1,0,2,4,1
212,50,1,2,2,3,1,1,1,0,0,0,3,4,0.5
213,20,1,2,3,2,0,0,0,0,0,1,2,1,0
214,30,1,2,2,2,0,0,0,0,0,1,2,2,0.5
215,15,0,2,6,4,1,9,1,0,1,1,3,3,0.5
216,20,0,0,4,3,1,1,1,0,0,1,4,3,1
217,50,0,4,4,3,0,0,0,0,0,1,2,3,1
218,50,1,0,4,4,1,1,1,0,0,0,2,4,0.5
219,40,1,2,2,3,1,2,0,1,0,0,4,4,1
220,40,0,6,5,5,1,2,1,1,0,0,3,3,1
221,20,0,4,2,4,1,3,1,1,0,0,3,3,0
222,30,1,2,5,5,1,1,0,1,0,1,4,3,1
223,20,1,0,5,3,1,2,1,0,1,0,4,3,1
224,40,1,0,4,3,1,1,1,0,0,1,4,2,0
225,40,1,2,4,3,1,1,1,0,0,0,2,3,0.5
226,40,1,6,4,2,1,2,1,1,0,1,3,2,0.5
227,25,1,2,2,2,1,3,1,0,0,1,4,4,1
228,20,0,0,5,2,1,2,1,0,0,0,4,3,1
229,40,0,2,3,5,0,0,0,0,0,1,2,2,1
230,50,1,2,4,3,1,2,1,1,0,0,4,3,1
231,40,1,2,3,3,0,0,0,0,0,1,2,2,0
232,50,0,0,4,3,1,3,1,0,0,1,4,3,0.5
233,40,0,2,4,3,1,2,1,0,0,0,4,3,0.5
234,50,0,0,2,3,1,1,0,1,0,0,0,3,0.5
235,15,1,6,3,0,1,3,1,0,0,1,2,3,1
236,50,1,2,3,3,1,1,1,0,0,0,3,3,1
237,15,1,2,4,3,1,1,0,1,0,0,3,3,0.5
238,30,1,2,4,3,1,3,1,0,0,0,4,3,1
239,50,1,0,2,4,1,1,0,1,0,1,3,3,0.5
240,15,1,2,3,2,1,1,1,0,0,1,3,2,1
241,15,0,6,2,3,1,1,1,0,0,1,4,3,1
242,30,1,2,4,0,1,2,1,0,0,1,4,3,1
243,15,1,4,3,0,1,2,1,0,0,1,3,4,1
244,50,1,2,2,3,0,0,0,0,0,1,2,2,0.5
245,50,1,0,2,2,1,1,1,0,0,0,3,3,0.5
246,20,0,2,1,0,0,0,0,0,0,1,2,3,0.5
247,50,1,2,3,3,0,0,0,0,0,1,2,4,0.5
248,40,0,0,2,4,1,2,0,1,0,0,3,2,1
249,30,1,2,3,2,1,1,1,0,0,1,3,3,1
250,30,1,6,3,2,0,0,0,0,0,1,2,1,0
251,50,0,2,4,3,1,1,1,0,0,1,4,3,1
252,20,1,4,5,2,0,0,0,0,0,1,2,3,1
253,40,1,2,2,2,0,0,0,0,0,1,2,4,1
254,20,1,8,3,3,1,3,1,0,0,1,2,4,1
255,50,1,2,4,3,1,9,1,1,0,1,4,3,1
256,50,1,0,3,3,1,10,1,0,0,0,4,3,1
257,40,1,0,2,3,1,1,1,0,0,1,4,3,0.5
258,30,0,2,4,1,1,2,1,1,0,1,4,3,1
259,50,1,2,4,3,1,2,0,1,0,0,4,3,0
260,15,1,2,3,4,1,1,1,0,0,1,4,3,1
261,50,1,0,2,4,1,1,1,0,0,0,4,2,1
262,50,1,0,2,3,1,2,1,0,0,0,3,3,1
263,50,1,0,4,3,1,3,1,0,0,0,2,3,1
264,50,1,2,5,2,1,4,1,1,0,0,4,3,1
265,50,1,0,2,3,1,3,1,0,0,0,3,3,1
266,20,1,2,2,3,0,0,0,0,0,1,2,3,1
267,30,0,0,2,5,0,0,0,0,0,1,2,2,0.5
268,30,1,2,3,3,1,10,1,1,0,0,4,3,1
269,50,0,4,3,3,1,1,0,1,0,0,2,3,0.5
270,20,1,4,4,2,1,1,1,0,0,0,4,3,0.5
271,40,1,0,4,3,0,0,0,0,0,1,2,1,0
272,40,1,2,4,3,0,0,0,0,0,1,2,2,0.5
273,30,1,2,2,3,1,1,0,1,0,0,4,3,1
274,50,1,8,4,3,1,1,0,0,0,1,2,0,0
275,30,1,4,3,3,1,1,1,0,0,0,4,4,0.5
276,50,0,2,2,3,1,3,1,0,0,0,2,2,0
277,40,1,0,4,3,1,7,1,0,0,1,4,3,1
278,15,0,6,4,3,1,1,1,0,0,1,4,3,1
279,50,1,2,3,2,1,1,1,0,0,1,4,3,0.5
280,50,1,2,2,3,0,0,0,0,0,1,2,3,0.5
281,40,0,2,3,3,0,0,0,0,0,1,2,1,0
282,20,1,2,4,3,0,0,0,0,0,1,2,4,1
283,40,1,0,4,0,1,1,1,0,0,0,4,3,0.5
284,30,1,2,4,2,1,1,1,0,0,1,2,3,0.5
285,50,1,0,2,3,1,2,1,0,0,1,4,3,1
286,20,1,4,8,4,1,3,1,0,0,1,4,3,1
287,50,1,0,2,4,1,1,0,1,0,0,3,3,1
288,50,1,0,3,3,1,6,1,1,0,0,4,0,1
289,40,1,4,5,1,0,0,0,0,0,1,2,2,0.5
290,40,1,6,3,4,0,0,0,0,0,1,2,1,0
291,50,1,4,3,3,1,1,0,1,0,1,4,3,1
292,40,1,4,4,3,0,0,0,0,0,1,2,2,0.5
293,20,0,4,4,3,0,0,0,0,0,1,2,4,1
294,50,1,2,2,3,1,1,1,0,0,0,4,4,1
295,40,0,4,3,2,1,32,0,0,0,0,1,2,0.5
296,50,1,0,2,3,0,0,0,0,0,1,2,2,0.5
297,30,1,0,3,3,1,1,1,0,0,0,4,3,1
298,40,1,2,4,1,0,0,0,0,0,1,2,2,0.5
299,50,1,2,1,3,1,1,1,0,0,0,3,4,0.5
300,40,1,2,4,4,1,1,1,0,0,1,3,3,1
301,40,1,2,2,3,1,1,1,0,0,0,4,4,1
302,40,0,2,4,3,1,1,1,0,0,0,3,3,1
303,20,0,2,2,3,0,0,0,0,0,1,2,1,0
304,40,1,0,4,3,1,3,1,1,0,0,4,4,1
305,40,1,2,6,2,1,1,1,0,0,1,4,4,1
306,20,0,2,4,1,0,0,0,0,0,1,2,0,0
307,20,0,2,4,1,0,0,0,0,0,1,2,2,0.5
308,50,0,2,5,3,1,1,1,0,0,1,1,2,0
309,40,0,4,4,1,0,0,0,0,0,1,2,4,1
310,40,1,6,3,1,1,1,0,1,0,0,4,4,0.5
311,30,1,8,3,3,1,1,0,1,0,1,4,3,1
312,40,1,2,1,3,1,1,1,0,0,1,2,3,1
313,30,1,2,3,2,1,1,1,0,0,1,4,4,1
314,15,0,2,6,2,1,1,1,0,0,1,3,2,0.5
315,50,1,2,2,3,1,2,1,0,0,1,2,4,1
316,40,1,0,6,3,1,4,1,1,0,0,3,1,1
317,30,1,0,2,3,1,3,1,0,0,0,4,3,0
318,20,0,0,4,3,1,3,1,0,0,1,2,3,0
319,20,0,2,3,2,0,0,0,0,0,1,2,2,0.5
320,20,1,2,3,1,1,1,0,1,0,0,3,3,1
321,30,1,6,2,0,0,0,0,0,0,1,2,4,1
322,50,0,0,4,3,1,1,1,0,0,0,3,3,0
323,30,1,0,3,2,1,1,1,0,0,0,4,3,0.5
324,15,0,2,4,3,1,1,1,0,0,1,4,3,1
325,25,0,6,3,4,1,3,1,0,0,1,3,3,1
326,40,1,2,4,3,1,1,1,0,0,0,0,4,1
327,40,1,2,4,4,1,2,1,0,0,1,3,3,1
328,40,1,2,3,2,0,0,0,0,0,1,2,3,1
329,30,1,4,3,3,1,5,0,0,0,0,2,3,1
330,50,1,0,2,3,1,2,0,1,0,0,3,4,0.5
331,20,1,2,3,2,0,0,0,0,0,1,2,1,0
332,40,1,0,4,3,0,0,0,0,0,1,2,3,1
333,40,1,2,4,5,1,2,1,0,0,0,4,3,0
334,50,1,0,3,4,0,0,0,0,0,1,2,4,0.5
335,50,1,2,2,1,0,0,0,0,0,1,2,2,1
336,50,1,2,2,1,0,0,0,0,0,1,2,3,1
337,30,0,8,6,3,1,1,0,0,0,0,4,3,1
338,15,1,2,4,3,0,0,0,0,0,1,2,3,1
339,30,1,2,3,2,1,1,1,0,0,0,4,4,1
340,40,0,2,4,3,0,0,0,0,0,1,2,3,1
341,50,1,0,3,3,0,0,0,0,0,1,2,1,0
342,40,1,0,4,2,0,0,0,0,0,1,2,2,0.5
343,40,1,0,4,3,1,1,0,1,0,1,4,4,0
344,50,1,4,4,3,1,1,0,1,0,0,4,4,1
345,40,1,4,3,3,1,1,1,0,0,0,3,3,1
346,40,1,2,4,3,1,1,0,1,0,0,4,3,1
347,40,1,2,4,3,1,1,0,1,0,0,4,1,1
348,30,1,0,6,3,0,0,0,0,0,1,2,0,0
349,40,1,2,4,3,1,2,0,0,0,0,4,3,0
350,50,1,2,2,3,1,1,1,0,0,0,3,3,1
351,40,1,2,3,3,1,1,1,0,0,1,4,3,1
352,50,0,0,2,3,0,0,0,0,0,1,2,3,1
353,50,1,2,4,3,1,2,1,0,0,1,4,4,1
