,age,gender,time_in_social_media,people_living_together,social_class,has_pets,number_of_pets,has_others,forgets,report_abandoned,feeling,would_use,has_dogs,is_lgbt
125,16,0,1.0,4,3,1,1.0,0,1,3,4.0,0,1,0
126,25,1,2.0,2,3,1,1.0,0,0,4,5.0,1,1,0
127,31,0,2.0,3,4,0,0.0,0,1,1,3.0,0,0,0
128,37,0,2.0,4,4,1,1.0,0,1,3,3.0,0,1,0
129,25,1,5.0,1,2,1,1.0,0,0,3,5.0,1,1,0
130,28,1,5.0,4,4,1,3.0,0,0,4,5.0,1,1,0
131,35,1,3.0,3,4,0,0.0,0,1,3,3.0,0,0,0
132,26,0,1.0,4,4,1,2.0,0,0,4,5.0,0,1,1
133,20,1,4.0,3,2,1,1.0,0,0,4,5.0,1,1,1
134,28,0,5.0,3,4,0,0.0,0,1,4,3.0,0,0,0
135,30,0,15.0,2,2,0,0.0,0,1,4,3.0,0,0,1
136,27,1,8.0,3,2,1,1.0,0,0,4,5.0,0,1,0
137,17,1,9.0,6,4,1,4.0,1,1,4,5.0,1,1,1
138,24,1,5.0,4,3,1,1.0,0,1,4,5.0,0,0,1
139,30,0,8.0,4,4,1,3.0,0,0,4,5.0,1,1,1
140,18,0,10.0,4,0,1,2.0,1,1,2,4.0,0,1,0
141,26,0,2.0,2,2,0,0.0,0,1,4,3.0,1,0,1
142,30,1,4.0,3,2,0,0.0,0,1,4,3.0,0,0,0
143,27,2,5.0,2,4,1,2.0,0,1,3,5.0,1,1,1
144,22,1,6.0,3,2,0,0.0,0,1,4,3.0,1,0,1
145,19,0,3.0,4,5,1,2.0,1,0,4,5.0,0,1,0
146,16,1,3.0,3,3,1,4.0,1,1,4,5.0,0,1,0
147,33,0,8.0,2,5,0,0.0,0,1,4,3.0,1,0,1
148,27,1,5.0,1,1,0,0.0,0,1,4,3.0,0,0,0
149,16,1,2.0,4,2,1,2.0,1,1,4,5.0,0,1,0
150,13,1,1.0,4,0,1,2.0,1,1,4,5.0,1,1,0
151,34,1,6.0,1,4,1,1.0,0,0,4,5.0,1,1,1
152,24,1,2.0,3,2,0,0.0,0,1,2,3.0,0,0,0
153,15,0,2.0,3,3,1,3.0,1,1,3,4.0,1,1,0
154,15,1,4.0,4,0,0,0.0,0,1,3,3.0,0,0,0
155,71,0,4.0,1,3,1,1.0,0,0,4,5.0,0,1,0
156,15,1,2.0,4,4,1,1.0,0,1,3,5.0,0,1,0
157,15,1,4.0,3,2,1,1.0,0,1,3,5.0,1,1,0
158,74,1,2.0,1,3,1,1.0,0,0,4,5.0,1,1,0
159,74,1,2.0,1,3,1,1.0,0,0,4,5.0,1,1,0
160,71,0,4.0,1,3,1,1.0,0,0,4,5.0,1,1,0
161,44,1,1.0,3,4,1,2.0,0,1,4,5.0,0,1,0
162,75,1,2.0,1,3,1,1.0,0,0,4,5.0,1,1,0
163,41,1,5.0,3,0,0,0.0,0,1,4,3.0,0,0,0
164,13,1,2.0,5,2,1,2.0,1,1,2,4.0,1,1,0
165,16,1,3.0,3,3,1,1.0,0,1,3,4.0,1,1,0
166,17,1,6.0,5,1,1,1.0,0,1,3,3.0,0,0,0
167,18,1,10.0,4,1,1,7.0,1,0,4,5.0,0,1,0
168,30,0,5.0,2,2,1,1.0,0,1,3,3.0,0,1,1
169,40,0,10.0,5,4,1,3.0,0,0,3,5.0,1,1,0
170,12,1,5.0,4,0,1,1.0,0,1,4,4.0,0,1,0
171,11,0,1.0,7,3,1,2.0,1,1,1,5.0,0,1,0
172,12,0,4.0,4,2,0,0.0,0,1,4,3.0,0,1,0
173,11,0,1.0,3,0,0,0.0,0,1,3,3.0,1,0,0
174,15,0,2.0,4,4,1,1.0,0,1,3,4.0,1,1,0
175,15,1,5.0,4,3,1,1.0,0,1,2,5.0,1,1,0
176,12,1,3.0,4,4,0,0.0,0,1,4,3.0,0,0,0
177,33,0,4.0,1,2,1,2.0,0,0,4,5.0,1,1,0
178,11,0,5.0,4,2,0,0.0,0,1,4,3.0,0,1,0
179,11,0,0.0,4,0,1,1.0,0,1,1,2.0,0,1,0
180,11,0,5.0,3,2,1,1.0,0,0,2,5.0,0,1,0
181,15,0,4.0,4,3,1,1.0,0,1,4,4.0,0,1,0
182,43,1,2.0,3,4,0,0.0,0,1,3,3.0,0,0,0
183,12,0,2.0,3,5,0,0.0,0,1,3,3.0,0,0,0
184,46,1,2.0,4,4,1,1.0,0,0,4,5.0,0,1,0
185,28,1,3.0,3,3,1,1.0,0,1,4,5.0,0,1,0
186,53,1,3.0,4,3,1,1.0,0,0,3,5.0,0,1,0
187,56,1,1.0,1,2,1,4.0,1,0,4,5.0,1,1,0
188,27,0,2.0,2,4,1,2.0,0,1,4,5.0,1,1,0
189,42,1,1.0,1,4,0,0.0,0,1,4,3.0,0,0,0
190,26,1,2.0,2,4,1,2.0,0,0,4,5.0,1,0,0
191,11,1,1.0,4,3,0,0.0,0,1,3,3.0,0,0,0
192,55,1,2.0,2,1,0,0.0,0,1,4,3.0,0,0,0
193,12,1,2.0,4,3,0,0.0,0,1,4,3.0,0,0,0
194,11,1,1.0,3,2,0,0.0,0,1,2,3.0,1,0,0
195,12,1,7.0,3,4,1,1.0,0,1,3,5.0,1,1,0
196,11,1,180.0,3,3,0,0.0,0,1,3,3.0,0,0,0
197,11,0,3.0,5,3,1,1.0,0,1,4,5.0,0,1,0
198,31,1,2.0,2,2,0,0.0,0,1,3,3.0,0,0,1
199,23,0,3.0,2,2,1,2.0,1,1,3,5.0,1,1,0
200,342,0,45.0,78,5,0,0.0,0,1,0,3.0,0,0,0
201,13,1,6.0,4,2,1,1.0,0,1,4,5.0,1,1,0
202,13,1,3.0,4,2,1,1.0,0,1,3,3.0,0,1,0
203,39,0,2.0,2,4,0,0.0,0,1,3,3.0,1,0,0
204,28,1,3.0,4,2,1,2.0,0,1,4,5.0,1,1,0
205,18,1,3.0,3,3,1,3.0,1,1,4,5.0,1,1,1
206,12,1,3.0,4,3,1,2.0,1,1,4,4.0,0,1,0
207,49,0,1.0,3,1,0,0.0,0,1,4,3.0,1,1,0
208,18,0,4.0,4,0,1,2.0,1,1,4,4.0,0,1,0
209,12,1,8.0,3,4,1,1.0,0,1,4,5.0,1,1,0
210,55,1,2.0,3,4,1,2.0,0,0,2,1.0,0,0,0
211,12,0,3.0,4,5,1,2.0,1,1,2,5.0,0,1,0
212,12,1,2.0,3,2,1,1.0,0,1,3,4.0,0,1,0
213,31,1,2.0,1,3,1,1.0,0,1,4,5.0,0,1,0
214,17,0,1.0,2,4,0,0.0,0,1,3,5.0,1,0,0
215,16,0,3.0,3,4,1,1.0,0,1,3,4.0,0,1,1
216,16,0,2.0,5,4,0,0.0,0,1,3,3.0,0,0,0
217,15,1,3.0,2,2,1,1.0,0,1,4,4.0,0,1,0
218,17,1,5.0,3,2,1,4.0,1,0,4,5.0,1,1,0
219,15,1,3.0,3,3,0,0.0,0,1,2,3.0,0,0,0
220,16,1,8.0,4,1,0,0.0,0,1,4,5.0,0,0,1
221,16,0,2.0,5,4,1,1.0,0,0,4,5.0,1,1,0
222,16,1,3.0,4,4,0,0.0,0,1,4,5.0,0,0,1
223,13,1,5.0,4,5,1,1.0,0,1,4,4.0,0,1,0
224,17,1,2.0,5,4,1,1.0,0,1,3,5.0,1,1,0
225,52,1,5.0,3,2,1,1.0,0,0,2,5.0,0,1,0
226,15,1,3.0,3,3,1,5.0,1,1,4,5.0,0,1,0
227,22,0,2.0,3,4,1,1.0,0,1,3,5.0,1,1,0
228,30,1,5.0,1,1,1,1.0,0,0,4,5.0,1,1,1
229,16,1,6.0,4,5,0,0.0,0,1,1,3.0,0,0,1
230,15,1,4.0,5,1,1,4.0,1,1,3,5.0,1,1,0
231,16,1,4.0,6,5,1,1.0,0,1,4,5.0,0,1,0
232,15,0,3.0,6,0,1,2.0,1,1,4,5.0,1,1,0
233,45,1,2.0,3,4,1,1.0,0,1,4,5.0,1,1,0
234,22,0,3.0,4,3,1,1.0,0,1,4,5.0,1,1,0
235,18,1,3.0,4,1,1,2.0,1,1,4,5.0,1,1,0
236,22,0,3.0,2,2,1,6.0,1,0,4,5.0,1,1,0
237,12,1,3.0,3,3,0,0.0,0,1,4,5.0,0,1,1
