,age,gender,time_in_social_media,people_living_together,social_class,is_lgbt,has_pets,number_of_pets,has_dog,has_cat,has_others,forgets,report_abandoned,feeling,would_use
143,45,0,1.0,4,5,0,0,0.0,0,0,0,1,3,3.0,0
145,16,0,1.0,4,3,0,1,1.0,1,0,0,1,3,4.0,0.5
146,25,1,2.0,2,3,0,1,1.0,1,0,0,0,4,5.0,1
147,31,0,2.0,3,4,0,0,0.0,0,0,0,1,1,3.0,0
148,37,0,2.0,4,4,0,1,1.0,1,0,0,1,3,3.0,0.5
149,25,1,5.0,1,2,0,1,1.0,1,0,0,0,3,5.0,1
150,28,1,5.0,4,4,0,1,3.0,0,1,1,0,4,5.0,1
151,35,1,3.0,3,4,0,0,0.0,0,0,0,1,3,3.0,0.5
152,26,0,1.0,4,4,1,1,2.0,1,1,1,0,4,5.0,0.5
153,20,1,4.0,3,2,1,1,1.0,1,0,0,0,4,5.0,1
154,28,0,5.0,3,4,0,0,0.0,0,0,0,1,4,3.0,0
156,27,1,8.0,3,2,0,1,1.0,1,0,0,0,4,5.0,0.5
158,24,1,5.0,4,3,1,1,1.0,0,1,0,1,4,5.0,0.5
159,30,0,8.0,4,4,1,1,3.0,1,1,1,0,4,5.0,1
161,26,0,2.0,2,2,1,0,0.0,0,0,0,1,4,3.0,1
162,30,1,4.0,3,2,0,0,0.0,0,0,0,1,4,3.0,0.5
163,27,2,5.0,2,4,1,1,2.0,1,1,0,1,3,5.0,1
164,22,1,6.0,3,2,1,0,0.0,0,0,0,1,4,3.0,1
165,19,0,3.0,4,5,0,1,2.0,1,0,1,0,4,5.0,0
166,16,1,3.0,3,3,0,1,4.0,1,1,1,1,4,5.0,0
167,33,0,8.0,2,5,1,0,0.0,0,0,0,1,4,3.0,1
168,27,1,5.0,1,1,0,0,0.0,0,0,0,1,4,3.0,0
169,16,1,2.0,4,2,0,1,2.0,1,1,1,1,4,5.0,0.5
170,13,1,1.0,4,0,0,1,2.0,1,0,1,1,4,5.0,1
171,34,1,6.0,1,4,1,1,1.0,1,0,0,0,4,5.0,1
172,24,1,2.0,3,2,0,0,0.0,0,0,0,1,2,3.0,0
173,15,0,2.0,3,3,0,1,3.0,1,1,1,1,3,4.0,1
174,15,1,4.0,4,0,0,0,0.0,0,0,0,1,3,3.0,0.5
176,15,1,2.0,4,4,0,1,1.0,0,1,0,1,3,5.0,0.5
177,15,1,4.0,3,2,0,1,1.0,1,0,0,1,3,5.0,1
181,44,1,1.0,3,4,0,1,2.0,1,0,0,1,4,5.0,0
183,41,1,5.0,3,0,0,0,0.0,0,0,0,1,4,3.0,0
184,13,1,2.0,5,2,0,1,2.0,1,0,1,1,2,4.0,1
185,16,1,3.0,3,3,0,1,1.0,1,0,0,1,3,4.0,1
186,17,1,6.0,5,1,0,1,1.0,1,0,0,1,3,3.0,0
188,30,0,5.0,2,2,1,1,1.0,1,0,0,1,3,3.0,0.5
190,12,1,5.0,4,0,0,1,1.0,1,0,0,1,4,4.0,0.5
192,12,0,4.0,4,2,0,0,0.0,0,0,0,1,4,3.0,0.5
193,11,0,1.0,3,0,0,0,0.0,0,0,0,1,3,3.0,1
194,15,0,2.0,4,4,0,1,1.0,1,0,0,1,3,4.0,1
195,15,1,5.0,4,3,0,1,1.0,1,0,0,1,2,5.0,1
196,12,1,3.0,4,4,0,0,0.0,0,0,0,1,4,3.0,0.5
197,33,0,4.0,1,2,0,1,2.0,1,1,0,0,4,5.0,1
198,11,0,5.0,4,2,0,0,0.0,1,0,0,1,4,3.0,0
199,11,0,0.0,4,0,0,1,1.0,1,0,0,1,1,2.0,0
200,11,0,5.0,3,2,0,1,1.0,1,0,0,0,2,5.0,0.5
201,15,0,4.0,4,3,0,1,1.0,1,0,0,1,4,4.0,0.5
202,43,1,2.0,3,4,0,0,0.0,0,0,0,1,3,3.0,0.5
203,12,0,2.0,3,5,0,0,0.0,0,0,0,1,3,3.0,0.5
204,46,1,2.0,4,4,0,1,1.0,1,0,0,0,4,5.0,0.5
205,28,1,3.0,3,3,0,1,1.0,1,0,0,1,4,5.0,0.5
208,27,0,2.0,2,4,0,1,2.0,1,1,0,1,4,5.0,1
209,42,1,1.0,1,4,0,0,0.0,0,0,0,1,4,3.0,0
210,26,1,2.0,2,4,0,1,2.0,1,1,1,0,4,5.0,1
211,11,1,1.0,4,3,0,0,0.0,0,0,0,1,3,3.0,0.5
213,12,1,2.0,4,3,0,0,0.0,0,0,0,1,4,3.0,0
214,11,1,1.0,3,2,0,0,0.0,0,0,0,1,2,3.0,1
215,12,1,7.0,3,4,0,1,1.0,1,0,0,1,3,5.0,1
217,11,0,3.0,5,3,0,1,1.0,1,0,0,1,4,5.0,0.5
218,31,1,2.0,2,2,1,0,0.0,0,0,0,1,3,3.0,0
219,23,0,3.0,2,2,0,1,2.0,1,1,0,1,3,5.0,1
221,13,1,6.0,4,2,0,1,1.0,1,0,0,1,4,5.0,1
222,13,1,3.0,4,2,0,1,1.0,0,1,0,1,3,3.0,0.5
223,39,0,2.0,2,4,0,0,0.0,0,0,0,1,3,3.0,1
224,28,1,3.0,4,2,0,1,2.0,1,0,0,1,4,5.0,1
225,18,1,3.0,3,3,1,1,3.0,1,1,1,1,4,5.0,1
226,12,1,3.0,4,3,0,1,2.0,1,1,1,1,4,4.0,0.5
227,49,0,1.0,3,1,0,0,0.0,0,0,0,1,4,3.0,1
228,18,0,4.0,4,0,0,1,2.0,1,1,1,1,4,4.0,0
229,12,1,8.0,3,4,0,1,1.0,1,0,0,1,4,5.0,1
231,12,0,3.0,4,5,0,1,2.0,1,1,1,1,2,5.0,0
232,12,1,2.0,3,2,0,1,1.0,1,0,0,1,3,4.0,0.5
233,31,1,2.0,1,3,0,1,1.0,1,0,0,1,4,5.0,0.5
234,17,0,1.0,2,4,0,0,0.0,0,0,0,1,3,5.0,1
235,16,0,3.0,3,4,1,1,1.0,1,0,0,1,3,4.0,0.5
